LE CREDIT LYONNAIS
NAFTOGAZ TRADING EUROPE AG
ARCELORMITTAL BELGIUM NV
DTEK TRADING LLC
FLUXYS TENP GMBH
DE VRIJE ENERGIE PRODUCENT BV
SPIRIT NORWAY LIMITED
TOTALENERGIES TRADING ASIA PTE LTD
GLENCORE SINGAPORE PTE LTD
STANWELL CORPORATION LIMITED
WINDPARK ROLLWITZ/DAMEROW GBR
TURKIYE IS BANKASI AS
ETEX BUILDING PERFORMANCE NV
PRVO PLINARSKO DRUSTVO DOO
EM GENERATION BRUSSELS NV
PRODIA SNC
CENTERNACH ENERGIE SARL
EDISON NORGE AS
SIA AVOTI SWF
RENEWI WOOD PRODUCTS NV
PLANTATION ENERGY AUSTRALIA PTY LTD
TRI ENERGY GLOBAL PTE LTD
LALEMANT NV
PINEWELLS SA
WALPEAUTRE SPRL
TEAM (PHILIPPINES) ENERGY CORPORATION
SGS FRANCE SASU
***ALLEGROTECH***
MITAS ENDUSTRI SANAYI TICARET AS
PT TRUBAINDO COAL MINING
SGS TRINIDAD LIMITED
ACIRL PROPRIETARY LIMITED
NIPPON KAIJI KENTEI KYOKAI
LAUSITZ ENERGIE KRAFTWERKE AG
FACTOR ENERGIA SA
PETROCHINA INTERNATIONAL (SINGAPORE) PTE LTD
FUTERRA TORREFACAO E TECNOLOGIA TRANSFORMACAO DE BIOMASSA PARA ENERGIA SA
LANERGIE2 SARL
CONSTELLATION GENERATION LIMITED
CORNERSTONE GLOBAL COMMODITIES LLC
ENERGIE IWUY SAS
API ANONIMA PETROLI ITALIANA
SGS-CSTC STANDARDS TECHNICAL SERVICES CO LTD
INTERNATIONAL PALLET POOL BV
*TO BE DELETED* GATASTCH
VNG GASSPEICHER GMBH
CORONATION HOLDCO RENOVABLES SA
STADTWERKE SCHKEUDITZ GMBH
MONTANA ENERGIEVERSORGUNG GMBH & CO KG
KOREAN AIR LINES CO LTD
ENGIE DEUTSCHLAND GMBH
EF GIOIA DEL COLLE 2 SRL
NITROFER GMBH
MASSERIA SRL
RAS LAFFAN LIQUEFIED NATURAL GAS COMPANY LIMITED (3)
EOLE DE LA GRANDE COMBE SARL
E-DISTRIBUTIE MUNTENIA SA
RENOVATIO TRADING SRL
DISTRIBUTIE ENERGIE ELECTRICA ROMANIA SA
ESPE ENERGIA SRL
UNICREDIT BANK SA
CONTOURGLOBAL SOLUTIONS (PLOIESTI) SRL
ENERGIA VERDE VENTUNO SRL
ENET SA
FIRIZA ENERGY SRL
GLOBNET - YU SRL
HIDRO ENERGY LAND SRL
BISTRA HIDRO SRL
VEST - ENERGO SA
STATNETT SF
PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED
VSE AG
KELER CCP LTD
PROXY PARTNERS SP Z OO
ABERDEEN STANDARD CAPITAL LTD
9301-9826 QUEBEC INC- LA GRANAUDIERE
TRANS TUNISIAN PIPELINE COMPANY SPA
PT TEGUH SINARABADI
ATLAS ENERJI URETIM AS
GEDIZ ELEKTRIK PERAKENDE SATIS AS
BESTEPELER ENERJI URETIM TICARET AS
WINDPARK BUCHHAINER HEIDE GMBH & CO KG
SOLARE CALTAGIRONE SRL
ECZACIBASI YAPI GERECLERI SANAYI VE TICARET AS
ELEMENT ALPHA SA
ACCURIDE WHEELS BILECIK JANT SANAYI AS
BUERGERWIND OSTEEL GMBH & CO KG
INFRASTRUKTURGESSELSCHAFT WIPPERTAL MBH & CO KG
WG UTLANGWEHR GMBH & CO KG
LABORATOIRE BELGE DE L'INDUSTRIE ELECTRIQUE CVBA
UMSPANNWERK LOUISFELDE GBR
WINDPARK MARTFELD GMBH & CO KG
NIGERIA LNG LIMITED
ENEL ENERGIA SPA
KOREA GAS CORPORATION
BORDEWIND GMBH & CO KG
CHENNAI PETROLEUM CORPORATION LIMITED
EOLE DE PIROY SARL
*TO BE DELETED* GUJARAT STATE PETROLEUM CORPORATION LIMITED
STRASBOURG ELECTRICITE RESEAUX SA
BHP BILLITON MARKETING AG
U-COMMODITIES LLC
NATWEST MARKETS PLC
CITIGROUP GLOBAL MARKETS LIMITED
BNP PARIBAS FORTIS SA/NV
DZ BANK AG DEUTSCHE ZENTRAL-GENOSSENSCHAFTSBANK
COMPAGNIE NATIONALE DU RHONE SA
LA COMPAGNIE FINANCIERE EDMOND DE ROTHSCHILD BANQUE
NORSK HYDRO ASA
ROQUETTE FRERES SA
ENI SPA
CIMENTS CALCIA SAS
SOCIETE GENERALE INTERNATIONAL LIMITED
GAZ ELECTRICITE DE GRENOBLE
ICBC STANDARD BANK PLC
AGC GLASS EUROPE SA
NEXEN INC
NATURGY ENERGY GROUP SA
RWE POWER AG
PVM OIL ASSOCIATES LTD
E.ON ENERGIE AG
*TO BE DELETED* ENBW ENERGIE BADEN-WURTTEMBERG AG (INACTIVE)
CEZ AS
HARTREE PARTNERS LP
N-ERGIE AG
GOLDMAN SACHS GROUP INC (THE)
A2A SPA
SSE PLC
AXPO AG
TFS ENERGY (S) PTE LTD
AEP ENERGY SERVICES LTD
RWE SUPPLY & TRADING NETHERLANDS BV
NV NUON
NORSK HYDRO ENERGY BV
CONOCOPHILLIPS SUPPLY AND TRADING LIMITED
RESEAU GDS SA
SHELL ENERGY EUROPE LIMITED
BUNGE LIMITED
SG ENERGIE UK LIMITED
GT DERIVATIVES LIMITED
NEPTUNE ENERGY DEUTSCHLAND GMBH
ENDESA TRADING SA
GRDF SA
ENDESA GENERACION SA
M AND M ENERGY SERVICES LTD
BLUGAS SPA
GALP GAS NATURAL SA
TENNET TSO BV
UNION FENOSA GAS SA
ICAP ENERGY AS
AMPRION GMBH
SLOVENSKY PLYNARENSKY PRIEMYSEL AS
PEUGEOT CITROEN RENNES SNC
GASUNIE TRANSPORT SERVICES BV
SCOTTISHPOWER ENERGY MANAGEMENT (AGENCY) LIMITED
GDF SUEZ ENERGIE SPA
AIR LIQUIDE TECHNISCHE GASSEN BV
STORENGY FRANCE SA
SALZBURG AG FUR ENERGIE VERKEHR UND TELEKOMMUNIKATION
CITADEL ENERGY INVESTMENTS LTD
OBSERV'ER OBSERVATOIRE DES ENERGIES RENOUVELABLES
E.ON UK TRADING LIMITED
CENTRICA ENERGY (TRADING) LIMITED
BRITANNIC ENERGY TRADING LIMITED
NOMURA ENERGY MARKETING LIMITED
NETCONNECT GERMANY GMBH & CO KG
ENERGIE SUDBAYERN GMBH
LINZ STROM GAS WARME GMBH FUR ENERGIEDIENSTLEISTUNGEN UND TELEKOMMUNIKATION
GDF SUEZ GAS SUPPLY & SALES SPA
CUMULUS ENERGY MASTER FUND
DIRECT ENERGIE
MITSUBISHI UFJ SECURITIES INTERNATIONAL PLC
ASCOPIAVE SPA
ING BANK NV
CARBONDESK LTD
GDF SUEZ ENERGY NORTH AMERICA
SOLVAY- COORDINATION INTERNATIONALE DES CREDITS COMMERCIAUX
TULLETT PREBON (EUROPE) LIMITED
RAIFFEISEN BANK INTERNATIONAL AG
BOREALIS FUNDING COMPANY LIMITED
SPARKASSE MUNSTERLAND OST
NOBLE CLEAN FUELS LIMITED
ENERGA OBROT SA
INNOGY POLSKA SA
PREZERO NEDERLAND HOLDING BV
ENERGI DANMARK A/S
TIWAG-TIROLER WASSERKRAFT AG
NGF GAZELLE A/S
MVM-ADWEST MARKETING UND HANDELSGESELLSCHAFT MBH
DANSKE BANK A/S
ERSTE GROUP BANK AG
SORGENIA SPA
PROXIMUS SA
PKN ORLEN SA - PGNIG CENTRAL BRANCH OF WARSAW
MERRILL LYNCH SINGAPORE COMMODITIES PTE
CEPS AS
MAVIR MAGYAR VILLAMOSENERGIA-IPARI ATVITELI RENDSZERIRANYITO ZRT
PGE POLSKA GRUPA ENERGETYCZNA SA
AGDER ENERGI VANNKRAFT AS
GINGA ENVIRONMENT (S) PTE LTD
LONDON COMMODITY BROKERS LTD
MVM PARTNER ENERGIAKERESKEDELMI ZRT
OMEL MERCADOS AGENCIA DE VALORES SAU
LAMA ENERGY AS
EVONIK INDUSTRIES AG
YTL POWERSERAYA PTE LIMITED
MORGAN STANLEY CAPITAL GROUP (SINGAPORE) PTE
EZPADA AG
EMIRATES NATIONAL OIL COMPANY (SINGAPORE) PTE LIMITED
PFALZWERKE AG
AMEREX PETROLEUM #2 SINGAPORE PTE LTD
STRONG PETROCHEMICAL MACAO LTD
SK ENERGY EUROPE LIMITED
SLIB EN CO-VERWERKINGS CENTRALE NV
ADM INTERNATIONAL SARL
CENTROPOL ENERGY AS
WANXIANG RESOURCES (SINGAPORE) PTE LTD
DELFORTGROUP AG
ENGIE ENERGY MANAGEMENT SCRL
CLEMENT CARTOON
INFRACOR GMBH
HB TRADING SPA
CEPSA INTERNATIONAL BV
STARFUELS PTE LTD
REPSOL TRADING SA
OPET TRADE (SINGAPORE) PTE LTD
THAI OIL PUBLIC COMPANY LIMITED
HRVATSKA ELEKTROPRIVREDA DIONICKO DRUSTVO
ENGIE ESPANA SL
PTT INTERNATIONAL TRADING PTE LTD
ENGIE CASTELNOU SLU
THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LIMITED
OW SUPPLY & TRADING A/S
DEUTSCHE BANK SPA
MATRIX BHARAT PTELTD
SOCIETA ELETTRICA ALTOATESINA SPA
WESTERN BULK ASA
TEREGA SA
VUELING AIRLINES SA
GS GLOBAL CORPORATION
FERRERO SPA
NGF NATURE ENERGY HOLDING A/S
ERG POWER GENERATION SPA
L'AIR LIQUIDE SA POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE
SOCAR TRADING SINGAPORE PTE LTD
COSMO OIL INTERNATIONAL PTE LTD
WIEE HUNGARY KORLATOLT FELELOSSEGU TARSASAG
SOCAR TRADING SA
STORENGY DEUTSCHLAND INFRASTRUCTURES GMBH
OMV GAS STORAGE GERMANY GMBH
ENAGAS TRANSPORTE SAU
EINS ENERGIE IN SACHSEN GMBH & CO KG
GP GLOBAL ENERGY PRIVATE LIMITED
ICAP FUTURES (AUSTRALIA) PTY LTD
HONG KONG DASHENG INDUSTRIAL DEVELOPMENT COMPANY LIMITED
OPEN ENERGY PLATFORM AG
ENGIE ENERGY MANAGEMENT CZ SRO
PKP ENERGETYKA SA
MET GAS AND ENERGY MARKETING AG
JAS BUDAPEST ZRT
VITOL ASIA PTE LTD
BAYERNOIL RAFFINERIEGESELLSCHAFT MBH
SWEDBANK AB
HIN LEONG TRADING PTE LTD
ALUMINIUM DUFFEL BV
VENTURE COMMODITIES PARTNERS LLP
SINOPEC HONG KONG (SINGAPORE) PTE LTD
BBL COMPANY VOF
TEREOS TTD AS
XTO NETHERLANDS LIMITED
PHILIPPINE AIRLINES INC
UKRTRANSGAZ PJSC
OMV ENERJI TICARET AS
SHOWA SHELL SEKIYU KK
TARGA LIQUIDS MARKETING & TRADE LLC
MIBGAS SA
THE NATIONAL BANK OF RAS AL KHAIMAH PSC
ECLIPSE INTERNATIONAL INC
METEO PROTECT SAS
ORIENTAL ENERGY (SINGAPORE) INTERNATIONAL TRADING PTE LTD
ENERJI PIYASALARI ISLETME AS
INSPECTORATE AMERICA CORPORATION
RAK GLOBAL MARKETS CAYMAN LIMITED
MUR SHIPPING BV
AKENERJI ELEKTRIK ENERJISI ITHALAT IHRACAT VE TOPTAN TICARET AS
PAREX RESOURCES (COLOMBIA) LIMITED
EAGLE COMMODITIES BROKERS LIMITED
ACHEMA AB
H CLARKSON & COMPANY LIMITED
ENERYA GAZ TICARET AS
DOGUS ENERJI TOPTAN ELEKTRIK TICARET AS
ARLANXEO BELGIUM NV
ARCELORMITTAL KRYVY RIH PJSC
ESETT OY
EXAA ABWICKLUNGSSTELLE FUR ENERGIEPRODUKTE AG
COMMISSION WALLONNE L'ENERGIE
STATOIL MARKETING & TRADING (US) INC
WINDPARK FARNSTADT GMBH & CO KG
WINDPARK TREPPENDORF GMBH CO KG
ENGIE ENERGY MANAGEMENT ROMANIA SRL
ELECTRABEL FRANCE SA
E.ON SVERIGE AB
CENTRALE EOLIENNE DU FENOUILLEDES SARL
E.ON ENERGIA SPA
VOLVO GROUP BELGIUM NV
VAN DER KOOY PIJNACKER BV
GIGLER GMBH
ARKLOW SHIPPING LTD
BORD NA MONA BIOMASS LTD
CLIPPER BULK SHIPPING NV
GHENT COMMODITY TERMINAL NV
HANWHA CORPORATION
OQ TRADING LIMITED
CNOOC GAS AND POWER TRADING & MARKETING LIMITED
PT PERTAMINA (PERSERO)
BAYMINA ENERJI AS
CAIXABANK SA
PT INDOMINCO MANDIRI
ENERGIE QUINCY SAS
WINDPARK PANSCHOW GMBH & CO KG
WINDPARK HASSENBUETTEL GMBH & CO KG
SONATRACH GAS COMERCIALIZADORA SA
OPENLOGS SA
TURKIYE HALK BANKASI AS
DIRECTION INTERREGIONALE DES DOUANES BRETAGNE-PAYS DE LOIRE
BIOMASSE ITALIA SPA
MERCK SERONO SPA
SCG CHEMICALS TRADING (SINGAPORE) PTE LTD
EUKOR CAR CARRIERS INC
ENERJISA TOROSLAR ELEKTRIK PERAKENDE SATIS AS
ENERJISA BASKENT ELEKTRIK PERAKENDE SATIS AS
MAREX SPECTRON EUROPE LIMITED
KES KOMMUNALE ENERGIEDIENSTLEISTUNGSGESELLSCHAFT SUDSACHSEN MBH
STADTWERKE OLBERNHAU GMBH
IPRAGAZ AS
*** FRANCE B2B E&C INDIRECT TECHNICAL CLIENT ***
GAZ DE PARIS SAS
BUTAGAZ SAS
I-REC SERVICES BV
EF LEQUILE SRL
PARCO EOLICO GIRIFALCO SRL
RETE SOLARE SRL
TG MASSERIA GIORGINI SRL
CAVENDISH MARKETS BV
BOFA SECURITIES EUROPE SA
ENGIE KRAFTWERK WILHELMSHAVEN GMBH & CO KG
ENGIE KRAFTWERK ZOLLING GMBH & CO KGAA
OPERATORUL PIETEI DE ENERGIE ELECTRICA SI DE GAZE NATURALE (OPCOM) SA
OMV PETROM SA
ENEL GREEN POWER ROMANIA SRL
MAZARINE ENERGY ROMANIA SRL
MAGYAR GAZ TRANZIT ZRT
QATAR LIQUEFIED GAS COMPANY LIMITED (2)
ELECTROUTILAJ SA
ENTECH ENGINEERING SRL
HYDRO POWER ENERGY TIBAU SRL
SHIN NIHON KENTEI KYOKAI
JPMORGAN CHASE BANK NA
SOCIETE GENERALE
HSBC CONTINENTAL EUROPE
UNICREDIT BANK AG
DEUTSCHE BANK AG
CAISSE DES DEPOTS ET CONSIGNATIONS
KOMERCNI BANKA AS
AJINOMOTO FOODS EUROPE SAS
MACQUARIE BANK LTD
COMPAGNIE FRANCAISE DU METHANE
COMMERZBANK AG
NATIONAL GRID GAS PLC
OESTERREICHISCHE VOLKSBANKEN AG
ENGIE ENERGIE SERVICES
ICAP SECURITIES LIMITED
TOTAL INTERNATIONAL LTD
SOCIETE GENERALE ENERGIE
STATOIL UK LTD
MORGAN STANLEY CAPITAL GROUP INC
JP MORGAN CHASE & CO
TRANSCOR ENERGY SA
BORSA ITALIANA SPA
CITIGROUP INC
BKW ENERGIE AG
VITOL ENERGY SA
GDF SUEZ SOLUTIONS LIMITED
SHELL GAS DIRECT LTD
EDF TRADING LIMITED
VATTENFALL AB
E.ON SE
OTCEX SA
CONSTELLATION ENERGY COMMODITIES GROUP INC
SUSQUEHANNA IRELAND LIMITED
NATURGY APROVISIONAMIENTOS SA
ESSENT NV
NOMURA HOLDINGS INC
SPECTRON LIVE.COM LIMITED
BP INTERNATIONAL LTD
GLENCORE ENERGY UK LTD
CEPSA GAS COMERCIALIZADORA SA
SCOTTISH POWER ENERGY MANAGEMENT LTD
VNG AG
SEFE MARKETING & TRADING LIMITED
ORSTED A/S
ENOI SPA
COFATHEC PROJIS
OMV GAS MARKETING & TRADING GMBH
CARGILL INTERNATIONAL TRADING PTE LTD
ENERCITY AG
VITOL HOLDING BV
PETRO-DIAMOND RISK MANAGEMENT LTD
BAYERNGAS ENERGY TRADING GMBH
SYNECO TRADING GMBH
YARA SUOMI OY
HERA TRADING SRL
TOTALENERGIES ELECTRICITE ET GAZ FRANCE SA
APX POWER LIMITED
RTE RESEAU DE TRANSPORT D'ELECTRICITE
PEUGEOT CITROEN SOCHAUX SNC
GREEN-ACCESS
EZPADA SRO
TRANS AUSTRIA GASLEITUNG GMBH
TRADITION DUBAI LIMITED
INEOS VINYLS DEUTSCHLAND GMBH
REN TRADING SA
BLUENEXT
MARK-E AG
OMIP - POLO PORTUGUES SGMR SA
MAINOVA AG
RAG AUSTRIA AG
STADTWERKE KARLSRUHE GMBH
SINERGIE ITALIANE SRL
EPEX SPOT SE
ERDGAS OSTSCHWEIZ AG
KOCH ENERGY EUROPE LIMITED
RHEINENERGIE TRADING GMBH
REPOWER AG
BELFIUS BANK
GEMINI ENVIRONMENTAL MARKETS LTD
SKANDINAVISKA ENSKILDA BANKEN AB
COMPAGNIE PARISIENNE DE CHAUFFAGE URBAIN
SUMITOMO MITSUI BANKING CORPORATION EUROPE LIMITED
CLARKSON SECURITIES LIMITED
EXANE OPTIONS
SWISSGRID AG
BOHEMIA ENERGY ENTITY SRO
SACHSENENERGIE AG
STADTWERKE DUISBURG AG
KELAG KARNTNER ELEKTRIZITATS AG
REGENSBURGER ENERGIE - UND WASSERSORGUNG AG & CO KG
VEMEX SRO
CHEVRON PRODUCTS UK LTD
SVENSK KRAFTMAKLING AB
IDEON SA
DXT COMMODITIES SA
DUFERCO PARTICIPATIONS HOLDING SA
GME - GESTORE DEI MERCATI ENERGETICI SPA
OP CORPORATE BANK PLC
SORGENIA TRADING SPA
SOVEN SAS
BUDAPESTI EROMU ZARTKORUEN MUKODO RESZVENYTARSASAG
TOWAROWA GIELDA ENERGII SA
YARA INTERNATIONAL ASA
OMV SUPPLY & TRADING AG
SK ENERGY INTERNATIONAL PTE LTD
EXO ENERGY TRADING SRL
CREDIT SUISSE AG
SOCIETE EUROPEENNE DE GESTION DE L'ENERGIE SA
AMGA AZIENDA MULTISERVIZI SPA
THE GOVERNMENT OF MALTA
NORDEA BANK FINLAND PLC
NH FUTURES CO LTD
SINOPEC FUEL OIL (SINGAPORE) PTE LTD
STADTWERKE COTTBUS GMBH
CAPITAL A GROUP BERHAD
DUNAMENTI EROMU ZRT
SOCIETE INDUSTRIELLE DE COGENERATION DE FRANCE
ERDGAS MUNSTER GMBH
AIR INDIA LIMITED
CHEVRON SINGAPORE PTE LTD
PAO NOVATEK
SGS TESTING & CONTROL SERVICES SINGAPORE PTE LTD
SENOKO ENERGY PTE LTD
BP ENERGY EUROPE LIMITED
SWEDBANK AS
AIR TAHITI
EASTPORT PETROCHEMICAL (SINGAPORE) PTE LTD
SK TRADING INTERNATIONAL CO LTD
BORD GAIS ENERGY LIMITED
ENGIE ENERGY SERVICES INTERNATIONAL SA
UNIPEC ASIA COMPANY LIMITED
GRUPO VILLAR MIR SA
ENERGIE STEIERMARK BUSINESS GMBH
IMERYS SA
DALKIA SA
GRANDEUR TRADING & SERVICES PTE LTD
NGF NATURE ENERGY A/S
AIR LIQUIDE FINANCE SA
CEPSA TRADING SAU
PT BAYAN RESOURCES TBK
GALP ENERGIA SGPS SA
AIR TAHITI NUI
FGSZ FOLDGAZSZALLITO ZRT
MVM CEENERGY ZARTKORUEN MUKODO RESZVENYTARSASAG
JSC NAFTOGAZ OF UKRAINE
WIEE ROMANIA SRL
REX COMMODITIES PTE LTD
MAREX SPECTRON ASIA PTE LTD
VITOL GAS AND POWER BV
B.A.I. BRETAGNE ANGLETERRE IRLANDE
CRE CONSORZIO PER LE RISORSE ENERGETICHE SCPA
IBERDROLA ENERGIA ESPANA SA
KCT GLOBAL PTE LTD
MET HUNGARY ENERGY TRADE PRIVATE LTD COMPANY
KEPPEL ELECTRIC PTE LTD
KEPPEL ENERGY PTE LTD
MO INIT CESSION
ENGIE DEUTSCHLAND AG
AUREL BGC SAS
VIRGIN AUSTRALIA AIRLINES PTY LTD
JOINT ALLOCATION OFFICE SA
SAINT LOUIS SUCRE SA
PT TBS ENERGI UTAMA TBK
J & B  ENERGY SERVICES PTY LTD
IBERIA LINEAS AEREAS DE ESPANA SA OPERADORA UNIPERSONAL
BRS FUTURES LIMITED
ARKEA BANQUE ENTREPRISES ET INSTITUTIONNELS
INTERTEK TESTING SERVICES (SINGAPORE) PTE LIMITED
CENTRALSCHWEIZERISCHE KRAFTWERKE AG
DXT INTERNATIONAL SA
CSC COMMODITIES UK LIMITED
GUNVOR GROUP LIMITED
NEW REINSURANCE COMPANY LTD
GAIL (INDIA) LIMITED
ENGIE ENERJI TICARET VE PAZARLAMA AS
ENDURANCE SPECIALTY INSURANCE LTD
STONEX FINANCIAL LTD
PT ADIMITRA BARATAMA NUSANTARA
AKFEL ENERJI TICARET AS
OTC ASIA COMMODITIES PTE LTD
TEAG THURINGER ENERGIE AG
EP COMMODITIES AS
ILLUMIA SPA
NV ENECO
TIRRENO POWER SPA
SPIENERGY SPA
ARRACO GLOBAL MARKETS LTD
GASLINK BROKERS LTD
OXOCHIMIE SAS
AMSPEC TESTING SERVICES PTE LTD
ALSAA PETROLEUM & SHIPPING FZC
INTERTEK USA INC
ENEOS CORPORATION
VAVIEN ENERJI URETIM DANISMANLIK VE PAZARLAMA LIMITED SIRKETI
CANADIAN IMPERIAL BANK OF COMMERCE
HSBC TRINKAUS & BURKHARDT AG
TRAFIGURA GROUP PTE LTD
BASF
TOTALENERGIES REFINERY ANTWERP NV
E.ON ENERGY PROJECTS GMBH
FEARNOIL INC
TECOMA BVBA
ISVAG CVBA
NORD POOL AS
ESSITY AKTIEBOLAG
***NGLS TECHNICAL CPT***
STATOIL US HOLDINGS INC
BIOMETHANOL CHEMIE NEDERLAND BV
LIMAK ENERJI TICARETI AS
ICAP CORPORATES LLC
MABANAFT NATURAL GAS PRODUCTS LIMITED
WINTERSHALL DEA NORGE AS
VNG HANDEL & VERTRIEB GMBH
CLIMACT SA
UNILIN BVBA
PT KALTIM PRIMA COAL
PETRON CORPORATION
